,Title,Year,Tags,I/O,BM,PM,NUM,SYNC,CATEGORY,SUBCATEGORY
43,Tweet Harp: Laser Harp Generating Voice and Text of Real-time Tweets in Twitter,2012,"voice synthesis reading tweets
voice as output of instrument 
voice visualisation",Voice samples,Spoken voice,Voice as audio,Multiple voices,"Real-time processing
Delayed
Use of voice samples",Voice in performance/experience,Hand-based gestures
44,Collaborative composition and socially constructed instruments: Ensemble laptop performance through the lens of ethnography,2012,"voice recordings
network
multi-user",Voice samples,"Spoken voice
Singing voice",Voice as audio,Multiple voices,Use of voice samples,Voice in performance/experience,Social/ Collaborative / Networked
45,MAGE – A Platform for Tangible Speech Synthesis,2012,"voice synthesis beyond words
expressive voice
device",Voice synthesis,Spoken voice,Voice as audio,Single voice,Real-time processing,Control of voice synthesis/morphing,Hand-based gestures
46,Using a seeing/blindfolded paradigm to study audience experiences of live-electronic performances with voice,2012,"experience voice beyond vision
moive modalities ","Voice accompaniment
Voice samples","Spoken voice
Singing voice",Voice as audio,Single voice,"Real-time processing
Use of voice samples",Voice in performance/experience,Other
47,VOICON: An Interactive Gestural Microphone For Vocal Performance,2012,"device
microphone
interactive
gesture
voice modification",Voice transformation/modulation/morphing,Singing voice,Voice as audio,Single voice,Real-time processing,Voice in performance/experience,Hand-based gestures
48,Concept Tahoe: Microphone Midi Control,2012,"device
microphone
control voice effect
voice transfomration
gestures","Voice transformation/modulation/morphing
Voice samples",Singing voice,Voice as audio,Single voice,"Real-time processing
Use of voice samples",Voice in performance/experience,Hand-based gestures
49,FutureGrab: A wearable synthesizer using vowel formants,2012,"wearable
hand gesures
voice synthesis
",Voice synthesis,Singing voice,"Voice as audio
Voice as movement/gesture/motor control",Single voice,"Real-time processing
Use of voice samples",Control of voice synthesis/morphing,Hand-based gestures
50,Investigation of Gesture Controlled Articulatory Vocal Synthesizer using a Bio-Mechanical Mapping Layer,2012,"voice model
force input
voice synthesis",Voice synthesis,Spoken voice,"Voice as audio
Voice as movement/gesture/motor control",Single voice,Real-time processing,Control of voice synthesis/morphing,Hand-based gestures
51,A Digital Mobile Choir: Joining Two Interfaces towards Composing and Performing Collaborative Mobile Music,2012,"mobile
multiusers
choir",Voice synthesis,"Spoken voice
Singing voice",Voice as audio,Multiple voices,Real-time processing,Voice in performance/experience,Social/ Collaborative / Networked
52,A Self-Organizing Gesture Map for a Voice-Controlled Instrument Interface,2013,"mapping
Voice-Controlled Interface for musical instruments
voice analysis",Voice as control,Other voice modalities,"Voice as audio
Voice as movement/gesture/motor control",Single voice,Real-time processing,,
53,A Compact Spectrum-Assisted Human Beatboxing Reinforcement Learning Tool On Smartphone,2013,"beyond words
voice visualization
music learning
beatboxing
expressive",Voice analysis,"Singing voice
Other voice modalities","Voice as audio
Voice as movement/gesture/motor control",Single voice,Real-time processing,Voice training,
54,LOLOL: Laugh Out Loud On Laptop,2013,"expressive
laughters
voice modality
nonlinguistic
voice synthesis",Voice synthesis,Other voice modalities,Voice as audio,Single voice,Real-time processing,Control of voice synthesis/morphing,Hand-based gestures
55,Paralinguistic Microphone,2013,"visual-based
mouth shapes to sounds
physical modeling
model
movement",Voice transformation/modulation/morphing,Other voice modalities,Voice as movement/gesture/motor control,Single voice,Real-time processing,Voice beyond audio,"face trackers, tongue, "
56,Digitartic: bi-manual gestural control of articulation in performative singing synthesis,2013,"voice synthesis
expressive
gesture
",Voice synthesis,Singing voice,Voice as audio,Single voice,Real-time processing,Control of voice synthesis/morphing,Hand-based gestures
57,Adaptive mapping for improved pitch accuracy on touch user interfaces,2013,"voice synthesis
gesture
",Voice synthesis,Singing voice,Voice as audio,Single voice,Real-time processing,Control of voice synthesis/morphing,Hand-based gestures
58,Designing Empowering Vocal and Tangible Interaction,2013,"accessibility
","Voice transformation/modulation/morphing
Voice samples","Singing voice
Spoken voice
Other voice modalities",Voice as audio,Multiple voices,"Real-time processing
Use of voice samples",Voice in performance/experience,Social/ Collaborative / Networked
59,MAGE 2.0: New Features and its Application in the Development of a Talking Guitar,2013,"voice synthesis
singing
expressivity",Voice synthesis,Spoken voice,Voice as audio,Single voice,Real-time processing,Control of voice synthesis/morphing,Hand-based gestures
60,Vocal Vibrations: A Multisensory Experience of the Voice,2014,"vibrations
exprerience
modalities
","Voice transformation/modulation/morphing
Voice accompaniment","Singing voice
Other voice modalities","Voice as audio
Voice as movement/gesture/motor control",Single voice,Real-time processing,Voice beyond audio ,Other / vibrations
61,Visualizing Gestures in the Control of a Digital Musical Instrument,2014,"audience
visual feedback
mapping","Voice synthesis
Voice accompaniment",Singing voice,"Voice as audio
Voice as movement/gesture/motor control",Multiple voices,Real-time processing,Voice in performance/experience,Voice visualization
62,The Talking Guitar: Headstock Tracking and Mapping Strategies,2014,"speech synthesis
guitare control
gesture",Voice synthesis,Singing voice,Voice as audio,Single voice,Real-time processing,Control of voice synthesis/morphing,Other
63,Design and Evaluation of a Gesture Controlled Singing Voice Installation,2014,"gesture-based
voice synthesis
",Voice synthesis,"Singing voice
Other voice modalities","Voice as audio
Voice as movement/gesture/motor control",Single voice,Real-time processing,Voice beyond audio,"face trackers, tongue, "
64,SynthAssist: Querying an Audio Synthesizer by Vocal Imitation,2014,"voice analysis
query database ",Voice as control,Singing voice,Voice as audio,Single voice,Real-time processing,Voice as control,Sung
65,Rule-based performative synthesis of sung syllables,2014,"gesture-based
voice synthesis
tablet",Voice synthesis,"Spoken voice
Singing voice",Voice as audio,Single voice,"Real-time processing
Use of voice samples",Control of voice synthesis/morphing,Hand-based gestures
66,LiVo: Sing a Song with a Vowel Keyboard,2015,"voice synthesis
keyboard control",Voice synthesis,Singing voice,Voice as audio,Single voice,Real-time processing,Control of voice synthesis/morphing,Hand-based gestures
67,Tibetan Singing Prayer Wheel: A Hybrid Musical- Spiritual Instrument Using Gestural Control,2015,"voice modification
gesture control",Voice transformation/modulation/morphing,Singing voice,Voice as audio,Single voice,Real-time processing,Control of voice synthesis/morphing,Hand-based gestures
68,Rawr! Study in Sonic Skulls: Embodied Natural History,2015,"animal voice!!!
voice sinthesis
physical model
voice modalities (whisper)",Voice transformation/modulation/morphing,Other voice modalities,Voice as audio,Single voice,Real-time processing,Non-human voices,
69,Evaluating the Audience’s Perception of Real-time Gestural Control and Mapping Mechanisms in Electroacoustic Vocal Performance,2016,"audience
voice recording",Voice transformation/modulation/morphing,Singing voice,Voice as audio,Single voice,"Real-time processing
Delayed",Voice in performance/experience,Hand-based gestures
70,Live Writing: Writing as a Real-time Audiovisual Performance,2016,"visual-based
voice modalities",Voice accompaniment,Spoken voice,Inner voice,Single voice,Real-time processing,Voice beyond audio ,inner voice
71,Emovere: Designing Sound Interactions for Biosignals and Dancers,2016,"physiology
expressive
voice recording",Voice samples,"Spoken voice
Other voice modalities",Voice as audio,Multiple voices,"Real-time processing
Use of voice samples",Voice in performance/experience,Other
72,Towards Robust Tracking with an Unreliable Motion Sensor Using Machine Learning,2017,"gesture-based
voice modification",Voice transformation/modulation/morphing,"Singing voice
Other voice modalities",Voice as audio,Single voice,Real-time processing,Control of voice synthesis/morphing,Hand-based gestures
73,Exploring Playfulness in NIME Design: The Case of Live Looping Tools,2017,"looping
voice recording","Voice transformation/modulation/morphing
Voice samples",Singing voice,Voice as audio,Single voice,"Real-time processing
Delayed
Use of voice samples",Control of voice synthesis/morphing,Hand-based gestures
74,Vokinesis : syllabic control points for performative singing synthesis,2017,"voice synthesis
gesture
tablet
expressive
",Voice synthesis,Spoken voice,Voice as audio,Single voice,"Real-time processing
Use of voice samples",Control of voice synthesis/morphing,Hand-based gestures
75,A Responsive User Body Suit (RUBS),2017,"wearable
expressive","Voice accompaniment
Voice samples",Spoken voice,Voice as audio,Single voice,Use of voice samples,Voice in performance/experience,Hand-based gestures
76,Animated Notation in Multiple Parts for Crowd of Non-Professional Performers,2018,"audience
voice modalities (scream)",Voice accompaniment,"Singing voice
Other voice modalities",Voice as audio,Multiple voices,Real-time processing,Voice in performance/experience,Social/ Collaborative / Networked
77,Towards New Modes of Collective Musical Expression through Audio Augmented Reality,2018,"AR
audience
voice modalities (different body sounds) ",Voice transformation/modulation/morphing,"Singing voice
Spoken voice
Other voice modalities",Voice as audio,Multiple voices,Real-time processing,Voice in performance/experience,Social/ Collaborative / Networked
78,Vocal Musical Expression with a Tactile Resonating Device and its Psychophysiological Effects,2018,"modalities (vibrations)
visualisation
physiology",Voice transformation/modulation/morphing,"Singing voice
Other voice modalities",Voice as audio,Single voice,Real-time processing,Voice beyond audio ,Other / vibrations
79,InterFACE: new faces for musical expression,2018,"vision-based
music synthesis
face tracking",Voice transformation/modulation/morphing,Other voice modalities,"Voice as audio
Voice as movement/gesture/motor control
Inner voice",Single voice,Real-time processing,Voice beyond audio ,"face trackers, tongue"
80,"The Orchestra of Speech:
a speech-based instrument system",2018,voice modalities (speech vs music),"Voice transformation/modulation/morphing
Voice samples",Spoken voice,Voice as audio,Multiple voices,Real-time processing,Voice in performance/experience,Other
81,Mechatronic Performance in Computer Music Compositions,2018,"voice analysis
multiuser
robots",Voice transformation/modulation/morphing,Singing voice,"Voice as audio
Voice as movement/gesture/motor control",Single voice,Real-time processing,Non-human voices,
82,T-Voks: the Singing and Speaking Theremin,2019,"voice synthesis
gesture based","Voice synthesis
Voice samples",Singing voice,Voice as audio,Single voice,"Real-time processing
Use of voice samples",Control of voice synthesis/morphing,Hand-based gestures
83,"INTIMAL: Walking to find place, breathing to feel presence",2019,"recording
voice modalities (speaking, breathing)","Voice transformation/modulation/morphing
Voice samples","Spoken voice
Other voice modalities","Voice as audio
Voice as movement/gesture/motor control",Multiple voices,"Real-time processing
Use of voice samples",Voice in performance/experience,Social/ Collaborative / Networked
84,Grain Prism: Hieroglyphic Interface for Granular Sampling,2019,"voice recording
gesture based","Voice transformation/modulation/morphing
Voice samples","Singing voice
Spoken voice",Voice as audio,Single voice,"Real-time processing
Use of voice samples",Control of voice synthesis/morphing,Hand-based gestures
85,A “voice” instrument based on vocal tract models by using soft material for a 3D printer and an electrolarynx,2019,"vocal track model
3D printed
voice generation/ synthesis",Voice synthesis,"Singing voice
Spoken voice","Voice as audio
Voice as movement/gesture/motor control",Single voice,Real-time processing,Control of voice synthesis/morphing,Hand-based gestures
86,Words to Music Synthesis,2020,"voice modality (words)
music synthesis
emotional",Voice as control,Spoken voice,Nan,Single voice,Real-time processing,Voice as control,Spoken
87,Surface Electromyography for Direct Vocal Control,2020,"voice modalities (muscle) 
voice as controler",Voice transformation/modulation/morphing,Singing voice,"Voice as movement/gesture/motor control
Inner voice",Single voice,Real-time processing,Control of voice synthesis/morphing,Other (sEMG)
88,RAW: Exploring Control Structures for Muscle-based Interaction in Collective Improvisation,2020,"voice as controler
voice analysis",Voice transformation/modulation/morphing,Singing voice,Voice as audio,Single voice,Real-time processing,Control of voice synthesis/morphing,Hand-based gestures
89,Designing Brain-computer Interfaces for Sonic Expression,2020,"voice modalities
expressivity
formants",Voice transformation/modulation/morphing,Singing voice,"Voice as audio
Inner voice",Single voice,Real-time processing,Control of voice synthesis/morphing,Other (BCI)
90,Investigation of a Novel Shape Sensor for Musical Expression,2021,,Voice synthesis,Singing voice,"Voice as audio
Voice as movement/gesture/motor control",Single voice,Real-time processing,Control of voice synthesis/morphing,Hand-based gestures
91,RhumbLine: Plectrohyla Exquisita — Spatial Listening of Zoomorphic Musical Robots,2021,,Voice synthesis,Other voice modalities,"Voice as audio
Voice as movement/gesture/motor control",Multiple voices,Real-time processing,Non-human voices,
92,"Instrument Design for The Furies: A LaptOpera

",2021,,Voice accompaniment,Singing voice,Voice as audio,Multiple voices,Real-time processing,Voice in performance/experience,Other
93,Click::RAND#2. An Indeterminate Sound Sculpture,2021,,Voice synthesis,Other voice modalities,Inner voice,Single voice,Real-time processing,Non-human voices,
94,Speculātor: visual soundscape augmentation of natural environments,2021,,Voice as control,Other voice modalities,Voice as audio,Multiple voices,Real-time processing,Non-human voices,
95,"The Body Electric: A NIME designed through and with the somatic experience of singing
",2021,,Voice transformation/modulation/morphing,"Singing voice
Other voice modalities",Voice as movement/gesture/motor control,Single voice,Real-time processing,Voice in performance/experience,Other
96,"Embodied Gestures: Sculpting Energy-Motion Models into Musical Interfaces
",2021,,"Voice accompaniment
Voice samples",Spoken voice,"Voice as audio
Voice as movement/gesture/motor control",Single voice,Real-time processing,Voice in performance/experience,Other
97,A Wearable Haptic Interface for Breath Guidance in Vocal Training ,2021,,Voice accompaniment,Other voice modalities,Voice as movement/gesture/motor control,Single voice,Real-time processing,Voice training,
